area,int_sqft,n_bedroom,n_bathroom,n_room,park_facil,utility_avail,street,mzzone,sales_price,house_age,buildtype_Commercial,buildtype_House,buildtype_Others
3,1563,2,1,4,0,1,2,5,9799360,28,0,1,0
0,1693,2,2,4,1,1,2,1,12801500,6,1,0,0
6,1522,1,1,4,0,2,2,4,17454510,43,1,0,0
1,1090,1,1,3,1,1,2,3,9832420,28,0,0,1
2,1085,1,1,3,1,1,2,4,14363500,6,1,0,0
6,1687,1,1,4,0,1,1,3,12476770,13,0,0,1
1,692,1,1,2,1,2,1,3,10381355,37,1,0,0
6,1518,1,1,4,1,2,1,3,17600240,37,1,0,0
1,1025,1,1,3,0,1,1,2,10934875,25,1,0,0
4,2170,3,2,5,1,1,2,4,12372160,8,0,1,0
2,969,1,1,3,1,0,0,3,11248750,17,1,0,0
4,1546,2,1,4,0,2,2,5,14241140,27,1,0,0
4,1709,2,1,4,1,1,1,4,10160600,20,0,1,0
6,1659,1,1,4,1,1,0,4,13539080,18,0,0,1
2,755,1,1,2,0,0,2,5,10727750,33,1,0,0
1,1182,1,1,3,1,2,0,4,9867055,17,0,1,0
1,735,1,1,2,0,1,0,3,9478710,14,1,0,0
2,1089,1,1,3,1,0,1,4,9050200,32,0,1,0
3,1534,2,1,4,1,0,1,1,7904210,53,0,0,1
5,1622,1,1,4,1,0,2,4,13063450,5,0,1,0
4,2198,3,2,5,1,1,2,5,13584980,21,0,0,1
2,1293,2,1,4,0,0,0,4,13116050,39,1,0,0
4,1641,2,1,4,0,2,2,4,10012600,29,0,0,1
3,1950,3,2,5,1,1,1,4,12105920,41,0,0,1
0,1245,1,1,3,0,1,1,0,4918375,28,0,0,1
2,905,1,1,3,0,0,2,3,7703200,33,0,0,1
4,1496,2,1,4,0,1,2,3,8569080,14,0,1,0
3,1892,3,2,5,1,0,2,5,12146620,36,0,1,0
3,1517,2,1,4,0,0,1,1,11671620,11,1,0,0
1,1034,1,1,3,1,0,2,1,9256740,16,0,0,1
3,1755,2,1,4,1,1,2,2,14915900,35,1,0,0
5,1622,1,1,4,1,1,1,5,13547790,7,0,1,0
2,1092,1,1,3,0,2,0,3,8213040,4,0,0,1
2,821,1,1,3,0,1,1,3,7304000,8,0,1,0
4,1694,2,1,4,0,1,2,4,10390900,11,0,0,1
5,1809,2,1,5,0,2,0,4,19206870,26,1,0,0
0,1401,2,2,4,1,2,2,4,9965375,14,0,0,1
0,1470,2,2,4,0,1,0,3,7207000,25,0,0,1
2,798,1,1,2,0,1,1,3,9070550,37,1,0,0
2,764,1,1,2,0,0,0,3,5670200,8,0,1,0
2,1135,1,1,3,0,1,0,5,9253200,23,0,0,1
0,939,1,1,3,0,0,0,2,4294000,38,0,1,0
0,1586,2,2,4,1,1,2,5,14316000,28,1,0,0
6,1973,2,1,5,1,2,2,5,23307000,35,1,0,0
2,1023,1,1,3,1,2,1,5,9735150,17,0,1,0
2,884,1,1,3,0,1,0,5,11336400,4,1,0,0
5,1640,1,1,4,0,0,0,3,17701600,5,1,0,0
1,622,1,1,2,0,0,0,4,6572900,20,0,0,1
5,1880,2,1,5,1,1,0,5,13423020,16,0,1,0
4,2413,4,2,6,0,1,1,5,13122040,9,0,0,1
6,1649,1,1,4,0,2,2,3,18939100,25,1,0,0
3,1729,2,1,4,1,1,1,0,12803570,41,1,0,0
6,1942,2,1,5,0,1,2,3,12330740,37,0,1,0
2,711,1,1,2,1,1,0,4,8050270,12,0,0,1
2,885,1,1,3,0,0,0,5,7194600,32,0,1,0
4,1688,2,1,4,1,1,2,5,11412700,15,0,1,0
1,1236,2,2,4,0,0,2,0,12035355,37,1,0,0
0,926,1,1,3,0,0,2,4,6877000,20,0,1,0
4,1686,2,1,4,0,1,1,5,10346400,24,0,0,1
0,1344,2,2,4,0,1,2,3,10809500,50,1,0,0
4,1437,2,1,4,0,2,2,5,10200600,23,0,0,1
0,1430,2,2,4,1,1,0,0,6635750,10,0,0,1
1,1081,1,1,3,0,2,0,1,6190150,30,0,1,0
0,1352,2,2,4,1,0,2,0,6507250,27,0,1,0
4,1986,3,2,5,0,2,2,5,11350400,30,0,1,0
5,1758,1,1,4,1,2,0,4,19285540,42,1,0,0
0,607,1,1,2,0,1,2,4,5856625,46,0,0,1
4,2139,3,2,5,1,1,1,4,12472000,21,0,0,1
4,1488,2,1,4,0,2,1,3,8441900,27,0,0,1
3,1645,2,1,4,0,1,0,3,7579320,26,0,1,0
2,950,1,1,3,1,1,2,4,9759000,26,0,0,1
2,928,1,1,3,1,2,2,3,12423800,4,1,0,0
3,1693,2,1,4,1,1,1,5,15495760,53,1,0,0
3,1873,3,2,5,1,0,0,4,11022270,21,0,0,1
1,721,1,1,2,0,1,1,4,7605550,10,0,0,1
0,1190,1,1,3,1,1,2,3,7967750,29,0,1,0
4,1593,2,1,4,0,2,1,3,8946800,17,0,0,1
2,786,1,1,2,1,0,2,4,9244820,12,0,0,1
2,1195,1,1,3,0,1,1,4,9821600,19,0,0,1
3,1824,3,2,5,0,1,1,2,8549060,33,0,1,0
4,1906,3,2,5,1,1,1,3,15852740,7,1,0,0
1,656,1,1,2,0,2,1,2,8757635,9,1,0,0
2,727,1,1,2,0,0,2,5,8415990,16,0,0,1
1,931,1,1,3,1,0,1,5,9935595,33,0,0,1
3,1898,3,2,5,1,0,0,5,16617860,38,1,0,0
5,1698,1,1,4,0,1,2,5,12412050,40,0,1,0
6,1926,2,1,5,1,1,0,5,22630540,17,1,0,0
0,1481,2,2,4,1,2,1,0,9901500,38,1,0,0
5,1506,1,1,4,0,0,0,5,10449910,33,0,1,0
2,1020,1,1,3,0,1,0,5,7948600,24,0,1,0
2,889,1,1,3,0,0,2,5,9098680,21,0,0,1
2,1015,1,1,3,1,2,1,3,8342850,35,0,1,0
6,1682,1,1,4,0,2,2,3,18662350,35,1,0,0
2,869,1,1,3,0,1,0,5,8172630,18,0,0,1
0,1445,2,2,4,0,1,0,2,5856500,24,0,1,0
5,1919,2,1,5,1,1,2,5,14704160,13,0,1,0
1,1243,2,2,4,1,1,1,1,13360440,36,1,0,0
0,857,1,1,2,0,0,1,2,4928250,17,0,1,0
0,1055,1,1,3,1,1,2,2,7315125,48,0,0,1
4,1778,3,2,5,0,1,2,4,10998320,8,0,0,1
0,851,1,1,2,0,0,1,0,3936375,41,0,0,1
2,1021,1,1,3,1,1,0,4,9201770,4,0,0,1
4,2203,3,2,5,1,1,1,4,17891240,22,1,0,0
0,613,1,1,2,0,1,0,2,5144500,30,1,0,0
1,738,1,1,2,0,1,0,2,8312670,18,1,0,0
0,1489,2,2,4,0,0,2,3,8007250,29,0,1,0
0,795,1,1,2,1,1,2,5,8479250,9,0,1,0
3,1909,3,2,5,1,2,2,0,10129160,33,0,0,1
2,1252,2,1,4,0,2,0,5,9482200,12,0,1,0
0,1077,1,1,3,0,0,1,5,9846750,33,1,0,0
4,1524,2,1,4,0,1,1,3,8675820,27,0,0,1
2,1049,1,1,3,1,0,2,5,10262450,11,0,1,0
3,1780,2,1,4,0,2,2,1,8671050,55,0,0,1
2,946,1,1,3,0,0,0,4,11165550,17,1,0,0
2,906,1,1,3,1,1,2,5,9464800,32,0,1,0
4,2344,4,2,6,0,1,2,5,18849880,24,1,0,0
1,929,1,1,3,1,1,1,3,9480425,15,0,0,1
5,1843,2,1,5,0,0,0,4,12264750,15,0,1,0
5,1918,2,1,5,1,2,2,4,21875050,35,1,0,0
4,1507,2,1,4,1,2,1,3,13538580,19,1,0,0
4,1499,2,1,4,0,2,2,3,8876320,6,0,1,0
4,1526,2,1,4,1,2,1,3,13645040,22,1,0,0
5,1855,2,1,5,1,1,1,3,20996200,10,1,0,0
0,1627,2,2,4,1,0,1,3,9071125,30,0,0,1
3,1846,3,2,5,0,2,2,5,10815830,39,0,1,0
4,2019,3,2,5,1,1,1,5,12802500,16,0,0,1
0,1578,2,2,4,1,2,2,2,9532500,13,0,0,1
3,1780,2,1,4,1,1,0,1,13346700,25,1,0,0
0,662,1,1,2,0,1,0,1,4356500,38,1,0,0
2,1005,1,1,3,0,1,2,4,12257100,26,1,0,0
0,839,1,1,2,0,1,1,1,4100500,20,0,1,0
5,1698,1,1,4,0,2,0,5,11527430,34,0,1,0
1,878,1,1,3,1,1,1,0,6452785,19,0,1,0
2,835,1,1,3,1,0,1,5,8434750,37,0,1,0
2,911,1,1,3,1,0,0,3,7427820,33,0,0,1
3,1796,2,1,4,1,0,0,3,9105350,50,0,1,0
0,1004,1,1,3,0,0,0,1,4721500,28,0,0,1
5,1694,1,1,4,0,1,1,4,12575010,27,0,0,1
0,1244,1,1,3,1,2,2,2,7952750,31,0,0,1
0,588,1,1,2,0,2,1,4,5705500,24,0,0,1
4,2342,4,2,6,1,1,1,4,12898740,7,0,1,0
3,1835,3,2,5,0,2,1,4,10722580,29,0,0,1
5,1977,2,1,5,1,2,2,4,14102960,43,0,1,0
4,1961,3,2,5,1,1,2,5,17612900,15,1,0,0
3,1517,2,1,4,1,1,0,0,7146890,12,0,1,0
4,2409,4,2,6,1,1,2,4,13476480,25,0,0,1
3,1864,3,2,5,0,0,2,3,15100560,23,1,0,0
3,1643,2,1,4,1,2,1,5,15599020,31,1,0,0
1,1015,1,1,3,1,1,0,1,11224620,8,1,0,0
5,1700,1,1,4,1,1,0,3,12477040,32,0,0,1
0,624,1,1,2,0,0,0,1,4396250,31,1,0,0
2,980,1,1,3,0,1,1,4,11900750,17,1,0,0
0,1003,1,1,3,1,1,2,3,10090000,20,1,0,0
1,1072,1,1,3,1,1,0,0,6607690,6,0,1,0
0,808,1,1,2,0,1,2,1,4752250,35,0,1,0
2,1027,1,1,3,0,0,1,3,7441350,21,0,1,0
0,696,1,1,2,0,1,2,4,6441250,11,0,1,0
3,1716,2,1,4,1,0,1,4,10359860,8,0,1,0
3,1878,3,2,5,0,2,1,1,14328720,6,1,0,0
4,1699,2,1,4,1,1,2,4,11444100,16,0,0,1
4,1626,2,1,4,0,2,1,5,9680280,24,0,1,0
4,1730,2,1,4,0,1,2,4,14739360,18,1,0,0
2,996,1,1,3,0,0,2,4,8939620,22,0,0,1
2,1277,2,1,4,1,2,0,5,15710400,16,1,0,0
2,906,1,1,3,0,1,1,3,10226600,32,1,0,0
5,1976,2,1,5,0,1,1,4,12300050,39,0,1,0
3,1776,2,1,4,1,1,1,3,9989170,21,0,1,0
0,1402,2,2,4,0,1,2,2,6966500,30,0,1,0
2,1160,1,1,3,1,2,0,3,9463900,30,0,0,1
3,1957,3,2,5,1,0,0,2,15199450,25,1,0,0
6,1887,2,1,5,0,1,0,4,20499450,20,1,0,0
3,1859,3,2,5,1,0,1,3,9925210,48,0,1,0
2,747,1,1,2,1,2,0,5,11223550,5,1,0,0
1,985,1,1,3,1,1,1,1,7379505,7,0,1,0
2,1024,1,1,3,1,2,0,3,12091400,16,1,0,0
3,1600,2,1,4,1,0,1,4,10530200,25,0,0,1
2,1276,2,1,4,0,1,1,4,9604120,36,0,0,1
2,1159,1,1,3,1,0,2,3,9062800,36,0,1,0
0,1024,1,1,3,1,1,0,1,4748500,50,0,1,0
1,1249,2,2,4,0,1,1,0,12642285,19,1,0,0
2,839,1,1,3,1,2,2,3,9107430,16,0,0,1
2,1286,2,1,4,0,2,0,5,9153300,34,0,1,0
4,2467,4,2,6,0,2,2,4,12650920,16,0,1,0
0,653,1,1,2,0,0,0,5,7635250,15,1,0,0
0,606,1,1,2,1,1,2,5,7854000,17,0,0,1
6,1837,2,1,5,1,0,0,4,13197230,29,0,1,0
3,1880,3,2,5,1,1,0,1,13669670,46,1,0,0
4,2189,3,2,5,1,2,2,3,18249860,23,1,0,0
3,1853,3,2,5,1,1,1,1,14707330,49,1,0,0
2,1057,1,1,3,0,2,1,4,9144840,17,0,0,1
1,723,1,1,2,0,0,2,5,10969920,28,1,0,0
6,1812,2,1,5,0,0,0,4,12248640,44,0,0,1
6,1788,1,1,4,1,0,0,4,14225180,17,0,0,1
3,1615,2,1,4,0,0,1,2,8019280,19,0,1,0
5,1755,1,1,4,0,1,0,4,11410310,43,0,1,0
1,1296,2,2,4,0,2,0,5,9950600,20,0,1,0
4,1554,2,1,4,1,1,1,4,9980320,6,0,1,0
5,1737,1,1,4,1,2,2,4,14292780,9,0,1,0
0,785,1,1,2,1,2,0,2,5752875,12,0,0,1
0,1678,2,2,4,1,1,2,1,11883250,35,1,0,0
4,2360,4,2,6,1,1,1,5,19816180,9,1,0,0
4,1464,2,1,4,1,1,1,3,9394640,28,0,0,1
4,1632,2,1,4,1,2,2,3,10506420,19,0,0,1
3,1755,2,1,4,1,0,0,1,8762820,26,0,0,1
3,1556,2,1,4,0,1,1,4,9348100,20,0,0,1
1,1170,1,1,3,0,1,2,3,9134740,36,0,1,0
1,901,1,1,3,0,2,2,2,7643255,37,0,0,1
0,1160,1,1,3,1,1,2,0,8886250,19,1,0,0
0,1570,2,2,4,1,1,0,0,6407000,8,0,1,0
0,1476,2,2,4,0,1,1,4,11536000,32,1,0,0
0,586,1,1,2,1,0,1,2,5333000,19,0,0,1
0,1059,1,1,3,1,2,1,4,7849250,33,0,1,0
6,1712,1,1,4,1,1,2,4,13797720,6,0,1,0
1,847,1,1,3,0,1,2,3,7492300,39,0,0,1
0,1192,1,1,3,0,1,0,2,5342250,23,0,1,0
3,1942,3,2,5,1,2,0,4,16212650,25,1,0,0
0,557,1,1,2,1,0,0,2,4710125,17,0,0,1
3,1728,2,1,4,1,0,2,2,14898480,19,1,0,0
3,1798,2,1,4,1,2,2,5,17060380,29,1,0,0
0,1497,2,2,4,1,2,2,0,6931750,35,0,1,0
2,1173,1,1,3,1,1,0,3,8196400,32,0,1,0
5,1640,1,1,4,1,1,0,3,17704670,36,1,0,0
4,1747,2,1,4,1,1,1,4,10784680,17,0,0,1
0,1342,2,2,4,1,0,0,2,9594250,43,1,0,0
6,2000,2,1,5,0,1,0,5,13596890,27,0,1,0
3,1987,3,2,5,0,1,2,3,11156320,11,0,0,1
0,1567,2,2,4,0,2,2,1,7725875,17,0,0,1
0,1188,1,1,3,0,2,0,5,9819500,34,1,0,0
1,737,1,1,2,0,1,0,0,3869180,32,0,1,0
0,785,1,1,2,1,1,1,1,5852625,13,0,0,1
4,2078,3,2,5,0,1,1,3,9696820,21,0,1,0
1,647,1,1,2,1,2,0,3,9574550,10,1,0,0
0,1171,1,1,3,1,2,0,0,6102625,16,0,0,1
4,2435,4,2,6,1,1,2,5,20246360,18,1,0,0
3,1805,3,2,5,1,2,1,4,16930470,16,1,0,0
0,1145,1,1,3,0,2,2,0,5510250,17,0,1,0
0,971,1,1,3,0,2,1,4,6530500,28,0,1,0
0,1657,2,2,4,1,1,2,4,10147125,39,0,0,1
3,1638,2,1,4,1,1,0,3,9705900,5,0,1,0
1,1284,2,2,4,1,0,1,4,16107475,5,1,0,0
1,1273,2,2,4,0,0,0,0,7451690,6,0,0,1
2,1185,1,1,3,1,0,2,4,10163000,20,0,1,0
6,1538,1,1,4,1,1,2,4,19376950,5,1,0,0
4,1929,3,2,5,0,2,1,3,10173980,30,0,0,1
4,1656,2,1,4,1,1,1,5,10910100,15,0,1,0
1,1287,2,2,4,1,1,2,2,15013625,15,1,0,0
6,1749,1,1,4,0,1,0,3,11713410,32,0,0,1
5,1585,1,1,4,0,2,0,4,17382790,17,1,0,0
6,1962,2,1,5,1,1,1,5,15862990,34,0,0,1
4,1425,2,1,4,0,1,1,4,8677280,14,0,1,0
0,884,1,1,2,1,1,1,2,8282500,26,1,0,0
2,1052,1,1,3,0,1,0,3,7926740,10,0,0,1
6,1756,1,1,4,0,1,2,4,12093570,31,0,1,0
0,523,1,1,2,1,2,2,5,7390000,38,0,1,0
3,1524,2,1,4,1,1,1,5,11053290,22,0,0,1
6,1949,2,1,5,1,1,0,5,14464930,43,0,0,1
2,1263,2,1,4,0,1,2,4,10637010,22,0,0,1
4,1917,3,2,5,1,2,1,4,11045960,18,0,1,0
4,1401,2,1,4,0,1,1,3,7410200,20,0,1,0
2,723,1,1,2,0,2,2,5,8645860,17,0,0,1
6,1660,1,1,4,0,1,1,3,17787740,37,1,0,0
2,895,1,1,3,1,0,2,3,8514750,5,0,1,0
5,1889,2,1,5,1,0,2,5,13841050,45,0,1,0
2,1199,1,1,3,0,1,1,3,9160580,25,0,0,1
0,782,1,1,2,1,2,0,2,7794500,14,1,0,0
5,1571,1,1,4,1,1,1,4,12946530,25,0,0,1
4,1848,3,2,5,1,1,1,4,15883280,24,1,0,0
2,1131,1,1,3,1,1,0,4,10089670,20,0,0,1
0,1062,1,1,3,1,2,0,0,5335750,21,0,1,0
4,1983,3,2,5,1,2,1,5,12126880,24,0,1,0
3,1572,2,1,4,0,1,2,1,8165450,20,0,1,0
5,1535,1,1,4,0,0,2,3,11484740,32,0,0,1
6,1818,2,1,5,1,1,2,5,22024740,32,1,0,0
4,1484,2,1,4,1,1,2,3,9771020,27,0,0,1
4,2189,3,2,5,0,1,2,3,12071880,15,0,0,1
2,1203,2,1,4,0,2,0,4,12925550,17,1,0,0
4,1610,2,1,4,1,2,2,5,15387480,24,1,0,0
1,863,1,1,3,1,1,1,0,6637005,7,0,1,0
0,985,1,1,3,0,2,2,4,7446875,20,0,0,1
0,1623,2,2,4,0,2,1,3,11658500,38,1,0,0
1,1019,1,1,3,0,0,2,1,6663435,29,0,1,0
0,1575,2,2,4,1,1,1,5,9894250,9,0,1,0
2,802,1,1,3,0,1,0,5,7968490,9,0,0,1
6,1846,2,1,5,0,1,0,3,12403760,34,0,0,1
2,759,1,1,2,0,2,1,4,8149280,15,0,0,1
4,2060,3,2,5,0,1,1,4,16012600,30,1,0,0
4,1503,2,1,4,1,1,2,5,11121040,19,0,0,1
3,1853,3,2,5,1,1,0,4,9462230,49,0,1,0
6,1739,1,1,4,1,1,1,4,20477590,37,1,0,0
0,766,1,1,2,1,1,1,5,8755500,50,1,0,0
2,857,1,1,3,1,2,0,4,8471590,26,0,0,1
6,1887,2,1,5,0,0,2,5,13024030,39,0,1,0
0,1502,2,2,4,0,1,0,5,8215250,7,0,1,0
3,1568,2,1,4,0,1,0,0,6361850,30,0,0,1
2,918,1,1,3,0,1,0,5,10929300,22,1,0,0
1,1289,2,2,4,0,2,2,3,14634500,40,1,0,0
4,1941,3,2,5,0,1,2,5,12228420,20,0,0,1
3,1730,2,1,4,1,1,0,4,10494410,23,0,0,1
3,1513,2,1,4,1,0,2,0,12350640,27,1,0,0
3,1762,2,1,4,1,1,0,3,9071080,24,0,1,0
5,1970,2,1,5,1,2,0,3,12450910,33,0,1,0
3,1702,2,1,4,0,1,0,2,12225650,45,1,0,0
3,1726,2,1,4,0,1,0,1,6804640,21,0,1,0
2,1243,2,1,4,1,1,2,4,15495150,9,1,0,0
3,1550,2,1,4,1,0,2,0,12456680,14,1,0,0
4,1830,3,2,5,1,2,2,3,16312280,14,1,0,0
0,1435,2,2,4,1,1,2,5,9753250,33,0,1,0
3,1729,2,1,4,1,0,1,3,10629750,5,0,0,1
6,1572,1,1,4,1,2,2,5,20715860,18,1,0,0
2,1145,1,1,3,1,1,2,3,14297200,16,1,0,0
2,1043,1,1,3,1,0,0,3,8317410,30,0,0,1
0,1332,1,1,3,0,1,1,5,8261500,44,0,0,1
0,608,1,1,2,1,0,0,2,6206250,15,1,0,0
1,676,1,1,2,1,1,0,2,8400465,31,1,0,0
3,1685,2,1,4,1,1,2,3,11104320,36,0,0,1
1,658,1,1,2,0,1,2,1,6083885,39,0,0,1
2,1008,1,1,3,0,1,1,4,8836160,32,0,0,1
5,1924,2,1,5,0,0,0,5,13620040,31,0,0,1
4,2112,3,2,5,0,1,2,3,16756460,13,1,0,0
2,917,1,1,3,1,1,2,3,11889950,37,1,0,0
0,1353,2,2,4,1,0,0,4,8573875,8,0,0,1
5,1694,1,1,4,1,2,1,4,14054970,20,0,0,1
5,1625,1,1,4,1,2,0,3,18316110,43,1,0,0
5,1882,2,1,5,1,2,0,4,14761860,5,0,0,1
6,1924,2,1,5,1,2,0,5,22123260,23,1,0,0
2,894,1,1,3,0,1,0,5,10882400,28,1,0,0
0,904,1,1,3,1,1,0,4,6863000,40,0,0,1
1,1279,2,2,4,0,1,2,3,9792910,34,0,1,0
3,1547,2,1,4,0,0,2,5,10090590,47,0,0,1
0,626,1,1,2,0,2,1,3,5072750,25,0,1,0
6,1673,1,1,4,0,1,0,5,12156320,44,0,0,1
2,1296,2,1,4,1,1,2,3,10741020,14,0,0,1
4,2194,3,2,5,0,1,2,3,16805520,6,1,0,0
4,1678,2,1,4,0,1,1,4,13586120,16,1,0,0
2,702,1,1,2,1,0,0,5,8021300,18,0,1,0
1,1067,1,1,3,1,0,0,3,7960405,27,0,1,0
2,980,1,1,3,1,1,1,3,11847350,25,1,0,0
4,1989,3,2,5,1,1,1,5,11985600,20,0,1,0
2,1257,2,1,4,0,1,1,4,13788450,35,1,0,0
2,1069,1,1,3,1,2,2,3,10080280,21,0,0,1
0,606,1,1,2,0,1,0,4,6564750,13,1,0,0
0,1449,2,2,4,1,1,2,4,8861500,36,0,1,0
0,1154,1,1,3,0,1,1,5,7880000,12,0,1,0
1,927,1,1,3,0,1,2,5,12682895,33,1,0,0
0,1613,2,2,4,1,0,2,4,10169625,31,0,0,1
3,1851,3,2,5,1,2,2,5,11959100,55,0,1,0
3,1511,2,1,4,0,1,0,1,10391900,45,1,0,0
4,1765,2,1,4,0,1,1,3,9338880,29,0,0,1
0,1238,1,1,3,1,0,0,5,11329750,17,1,0,0
2,934,1,1,3,1,0,2,3,8469050,23,0,1,0
2,754,1,1,2,1,1,1,4,7705800,36,0,1,0
6,1736,1,1,4,1,2,1,4,14057180,10,0,0,1
2,980,1,1,3,1,1,2,3,8621500,33,0,1,0
0,1299,1,1,3,0,1,1,2,9338500,46,1,0,0
0,849,1,1,2,0,1,1,3,5668875,36,0,0,1
4,1450,2,1,4,1,2,1,3,10040420,21,0,0,1
6,1634,1,1,4,1,1,1,5,12730270,31,0,1,0
0,1320,1,1,3,1,1,1,2,11071500,6,1,0,0
2,769,1,1,2,1,0,0,3,7261650,7,0,1,0
0,1150,1,1,3,1,1,2,2,6982000,32,0,1,0
2,908,1,1,3,0,2,1,3,7546960,36,0,0,1
0,1668,2,2,4,1,0,2,3,13650500,6,1,0,0
4,1990,3,2,5,0,1,2,3,10652120,6,0,1,0
5,1857,2,1,5,0,1,2,3,13378610,35,0,0,1
4,2061,3,2,5,1,1,2,4,17265880,14,1,0,0
4,1668,2,1,4,0,2,2,4,10044620,11,0,1,0
4,1444,2,1,4,0,2,2,4,9153720,26,0,1,0
2,1121,1,1,3,1,1,1,3,9089520,29,0,0,1
